Unicode,Emoji,Description,Year,Nature,Annotations
U+1F608,😈,smiling face with horns,2010,emoji,face; fairy tale; fantasy; horns; person; smile
U+1F47F,👿,imp,2010,emoji,devil; face; fairy tale; fantasy; imp; person
U+1F479,👹,japanese ogre,2010,emoji,creature; face; fairy tale; fantasy; japanese; monster; ogre; person
U+1F47A,👺,japanese goblin,2010,emoji,creature; face; fairy tale; fantasy; goblin; japanese; monster;person
U+1F480,💀,skull,2010,emoji,body; death; face; fairy tale; monster; person; skull
U+1F47B,👻,ghost,2010,emoji,creature; face; fairy tale; fantasy; ghost; monster; person
U+1F47D,👽,extraterrestrial alien,2010,emoji,alien; creature; extraterrestrial; face; fairy tale; fantasy; monster;nature; person; space; ufo
U+1F47E,👾,alien monster,2010,emoji,alien; creature; extraterrestrial; face; fairy tale; fantasy; monster;nature; person; space; ufo
U+1F4A9,💩,pile of poo,2010,emoji,comic; dung; face; monster; nature; object; poo; poop
U+1F63A,😺,smiling cat face with open mouth,2010,emoji,animal; cat; face; mouth; nature; open; smile
U+1F638,😸,grinning cat face with smiling eyes,2010,emoji,animal; cat; eye; face; grin; nature; smile
U+1F639,😹,cat face with tears of joy,2010,emoji,animal; cat; face; joy; nature; tear
U+1F63B,😻,smiling cat face with heart-shaped eyes,2010,emoji,animal; cat; eye; face; heart; love; nature; smile
U+1F63C,😼,cat face with wry smile,2010,emoji,animal; cat; face; ironic; nature; smile; wry
U+1F63D,😽,kissing cat face with closed eyes,2010,emoji,animal; cat; eye; face; kiss; nature
U+1F640,🙀,weary cat face,2010,emoji,animal; cat; face; nature; oh; surprised; weary
U+1F63F,😿,crying cat face,2010,emoji,animal; cat; cry; face; nature; sad; tear
U+1F63E,😾,pouting cat face,2010,emoji,animal; cat; face; nature; pouting
U+1F648,🙈,see-no-evil monkey,2010,emoji,animal; evil; face; forbidden; gesture; monkey; nature; no; not;prohibited; see
U+1F649,🙉,hear-no-evil monkey,2010,emoji,animal; evil; face; forbidden; gesture; hear; monkey; nature; no;not; prohibited
U+1F64A,🙊,speak-no-evil monkey,2010,emoji,animal; evil; face; forbidden; gesture; monkey; nature; no; not;prohibited; speak
U+1F466,👦,boy,2010,emoji,boy; person
U+1F467,👧,girl,2010,emoji,girl; maiden; person; virgin; virgo; zodiac
U+1F468,👨,man,2010,emoji,man; person
U+1F469,👩,woman,2010,emoji,person; woman
U+1F474,👴,older man,2010,emoji,man; old; person
U+1F475,👵,older woman,2010,emoji,old; person; woman
U+1F476,👶,baby,2010,emoji,baby; person
U+1F471,👱,person with blond hair,2010,emoji,blond; person
U+1F46E,👮,police officer,2010,emoji,cop; officer; person; police
U+1F472,👲,man with gua pi mao,2010,emoji,gua pi mao; hat; man; person
U+1F473,👳,man with turban,2010,emoji,man; person; turban
U+1F477,👷,construction worker,2010,emoji,construction; hat; person; worker
U+1F478,👸,princess,2010,emoji,fairy tale; fantasy; person; princess
U+1F482,💂,guardsman,2010,emoji,guard; guardsman; person
U+1F385,🎅,father christmas,2010,emoji,activity; celebration; christmas; fairy tale; fantasy; father; person;santa
U+1F47C,👼,baby angel,2010,emoji,angel; baby; face; fairy tale; fantasy; person
U+1F46F,👯,woman with bunny ears,2010,emoji,bunny; dancer; ear; girl; person; woman
U+1F486,💆,face massage,2010,emoji,massage; person; salon
U+1F487,💇,haircut,2010,emoji,barber; beauty; haircut; parlor; person
U+1F470,👰,bride with veil,2010,emoji,bride; person; veil; wedding
U+1F64D,🙍,person frowning,2010,emoji,frown; gesture; person
U+1F64E,🙎,person with pouting face,2010,emoji,gesture; person; pouting
U+1F645,🙅,face with no good gesture,2010,emoji,forbidden; gesture; hand; no; not; person; prohibited
U+1F646,🙆,face with ok gesture,2010,emoji,gesture; hand; ok; person
U+1F481,💁,information desk person,2010,emoji,hand; help; information; person; sassy
U+1F64B,🙋,happy person raising one hand,2010,emoji,gesture; hand; happy; person; raised
U+1F647,🙇,person bowing deeply,2010,emoji,apology; bow; gesture; person; sorry
U+1F64C,🙌,person raising both hands in celebration,2010,emoji,body; celebration; gesture; hand; hooray; person; raised
U+1F64F,🙏,person with folded hands,2010,emoji,ask; body; bow; folded; gesture; hand; person; please; pray; thanks
U+1F464,👤,bust in silhouette,2010,emoji,bust; person; silhouette
U+1F465,👥,busts in silhouette,2010,emoji,bust; person; silhouette
U+1F6B6,🚶,pedestrian,2010,emoji,hike; pedestrian; person; walk; walking
U+1F3C3,🏃,runner,2010,emoji,marathon; person; runner; running
U+1F483,💃,dancer,2010,emoji,dancer; person
U+1F48F,💏,kiss,2010,emoji,couple; kiss; person; romance
U+1F491,💑,couple with heart,2010,emoji,couple; heart; love; person; romance
U+1F46A,👪,family,2010,emoji,child; family; father; mother; person
U+1F46B,👫,man and woman holding hands,2010,emoji,couple; hand; hold; man; person; woman
U+1F46C,👬,two men holding hands,2010,emoji,couple; gemini; hand; hold; man; person; twins; zodiac
U+1F46D,👭,two women holding hands,2010,emoji,couple; hand; hold; person; woman
U+1F4AA,💪,flexed biceps,2010,emoji,biceps; body; comic; flex; muscle; person
U+1F448,👈,white left pointing backhand index,2010,emoji,backhand; body; finger; hand; index; person; point
U+1F449,👉,white right pointing backhand index,2010,emoji,backhand; body; finger; hand; index; person; point
U+261D,☝️,white up pointing index,1995,text,body; finger; hand; index; person; point; up
U+1F446,👆,white up pointing backhand index,2010,emoji,backhand; body; finger; hand; index; person; point; up
U+1F447,👇,white down pointing backhand index,2010,emoji,backhand; body; down; finger; hand; index; person; point
U+270C,✌️,victory hand,1995,text,body; hand; person; v; victory
U+270A,✊,raised fist,2010,emoji,body; clenched; fist; hand; person; punch
U+270B,✋,raised hand,2010,emoji,body; hand; person
U+1F44A,👊,fisted hand sign,2010,emoji,body; clenched; fist; hand; person; punch
U+1F44C,👌,ok hand sign,2010,emoji,body; hand; ok; person
U+1F44D,👍,thumbs up sign,2010,emoji,#ERROR!
U+1F44E,👎,thumbs down sign,2010,emoji,-1; body; down; hand; person; thumb; thumbs down
U+1F44B,👋,waving hand sign,2010,emoji,body; hand; person; wave; waving
U+1F44F,👏,clapping hands sign,2010,emoji,body; clap; hand; person
U+1F450,👐,open hands sign,2010,emoji,body; hand; open; person
U+1F485,💅,nail polish,2010,emoji,body; care; cosmetics; manicure; nail; person; polish
U+1F442,👂,ear,2010,emoji,body; ear; person
U+1F443,👃,nose,2010,emoji,body; nose; person
U+1F463,👣,footprints,2010,emoji,body; clothing; footprint; person; print
U+1F440,👀,eyes,2010,emoji,body; eye; face; person
U+1F445,👅,tongue,2010,emoji,body; person; tongue
U+1F444,👄,mouth,2010,emoji,body; lips; mouth; person
U+1F48B,💋,kiss mark,2010,emoji,emotion; heart; kiss; lips; mark; person; romance
U+1F498,💘,heart with arrow,2010,emoji,arrow; cupid; emotion; heart; person; romance
U+2764,❤️,heavy black heart,1995,text,emotion; heart; person
U+1F493,💓,beating heart,2010,emoji,beating; emotion; heart; heartbeat; person; pulsating
U+1F494,💔,broken heart,2010,emoji,break; broken; emotion; heart; person
U+1F495,💕,two hearts,2010,emoji,emotion; heart; love; person
U+1F496,💖,sparkling heart,2010,emoji,emotion; excited; heart; person; sparkle
U+1F497,💗,growing heart,2010,emoji,emotion; excited; growing; heart; heartpulse; nervous; person
U+1F499,💙,blue heart,2010,emoji,blue; emotion; heart; person
U+1F49A,💚,green heart,2010,emoji,emotion; green; heart; person
U+1F49B,💛,yellow heart,2010,emoji,emotion; heart; person; yellow
U+1F49C,💜,purple heart,2010,emoji,emotion; heart; person; purple
U+1F49D,💝,heart with ribbon,2010,emoji,emotion; heart; object; person; ribbon; valentine
U+1F49E,💞,revolving hearts,2010,emoji,emotion; heart; person; revolving
U+1F49F,💟,heart decoration,2010,emoji,emotion; heart; person; symbol
U+1F48C,💌,love letter,2010,emoji,emotion; heart; letter; love; mail; person; romance
U+1F4A4,💤,sleeping symbol,2010,emoji,comic; emotion; person; sleep; symbol; word; zzz
U+1F4A2,💢,anger symbol,2010,emoji,angry; comic; emotion; mad; person; symbol
U+1F4A3,💣,bomb,2010,emoji,bomb; comic; object
U+1F4A5,💥,collision symbol,2010,emoji,boom; collision; comic; emotion; person
U+1F4A6,💦,splashing sweat symbol,2010,emoji,comic; emotion; object; person; splashing; sweat
U+1F4A8,💨,dash symbol,2010,emoji,comic; dash; emotion; object; person; running
U+1F4AB,💫,dizzy symbol,2010,emoji,comic; dizzy; emotion; person; star
U+1F4AC,💬,speech balloon,2010,emoji,balloon; bubble; comic; dialog; emotion; object; person; speech
U+1F4AD,💭,thought balloon,2010,emoji,balloon; bubble; comic; emotion; object; person; thought
U+1F453,👓,eyeglasses,2010,emoji,clothing; eye; eyeglasses; eyewear; glasses; object; person
U+1F454,👔,necktie,2010,emoji,clothing; necktie; object; person
U+1F455,👕,t-shirt,2010,emoji,clothing; object; person; shirt; tshirt
U+1F456,👖,jeans,2010,emoji,clothing; jeans; object; pants; person; trousers
U+1F457,👗,dress,2010,emoji,clothing; dress; object; person
U+1F458,👘,kimono,2010,emoji,clothing; kimono; object; person
U+1F459,👙,bikini,2010,emoji,bikini; clothing; object; person; swim
U+1F45A,👚,womans clothes,2010,emoji,clothing; object; person; woman
U+1F45B,👛,purse,2010,emoji,clothing; coin; object; person; purse
U+1F45C,👜,handbag,2010,emoji,bag; clothing; handbag; object; person
U+1F45D,👝,pouch,2010,emoji,bag; clothing; object; person; pouch
U+1F392,🎒,school satchel,2010,emoji,activity; bag; education; object; satchel; school
U+1F45E,👞,mans shoe,2010,emoji,clothing; man; object; person; shoe
U+1F45F,👟,athletic shoe,2010,emoji,athletic; clothing; object; person; shoe; sneaker
U+1F460,👠,high-heeled shoe,2010,emoji,clothing; heel; object; person; shoe; woman
U+1F461,👡,womans sandal,2010,emoji,clothing; object; person; sandal; shoe; woman
U+1F462,👢,womans boots,2010,emoji,boot; clothing; object; person; shoe; woman
U+1F451,👑,crown,2010,emoji,clothing; crown; king; object; person; queen
U+1F452,👒,womans hat,2010,emoji,clothing; hat; object; person; woman
U+1F3A9,🎩,top hat,2010,emoji,activity; clothing; entertainment; hat; object; person; top; tophat
U+1F393,🎓,graduation cap,2010,emoji,activity; cap; celebration; clothing; education; graduation; hat;object
U+1F484,💄,lipstick,2010,emoji,cosmetics; lipstick; makeup; object; person
U+1F48D,💍,ring,2010,emoji,diamond; emotion; object; person; ring; romance
U+1F48E,💎,gem stone,2010,emoji,diamond; emotion; gem; jewel; object; person; romance
U+1F435,🐵,monkey face,2010,emoji,animal; face; monkey; nature
U+1F412,🐒,monkey,2010,emoji,animal; monkey; nature
U+1F436,🐶,dog face,2010,emoji,animal; dog; face; nature; pet
U+1F415,🐕,dog,2010,emoji,animal; dog; nature; pet
U+1F429,🐩,poodle,2010,emoji,animal; dog; nature; poodle
U+1F43A,🐺,wolf face,2010,emoji,animal; face; nature; wolf
U+1F431,🐱,cat face,2010,emoji,animal; cat; face; nature; pet
U+1F408,🐈,cat,2010,emoji,animal; cat; nature; pet
U+1F42F,🐯,tiger face,2010,emoji,animal; face; nature; tiger
U+1F405,🐅,tiger,2010,emoji,animal; nature; tiger
U+1F406,🐆,leopard,2010,emoji,animal; leopard; nature
U+1F434,🐴,horse face,2010,emoji,animal; face; horse; nature
U+1F40E,🐎,horse,2010,emoji,animal; horse; nature; place; racehorse; racing
U+1F42E,🐮,cow face,2010,emoji,animal; cow; face; nature
U+1F402,🐂,ox,2010,emoji,animal; bull; nature; ox; taurus; zodiac
U+1F403,🐃,water buffalo,2010,emoji,animal; buffalo; nature; water
U+1F404,🐄,cow,2010,emoji,animal; cow; nature
U+1F437,🐷,pig face,2010,emoji,animal; face; nature; pig
U+1F416,🐖,pig,2010,emoji,animal; nature; pig; sow
U+1F417,🐗,boar,2010,emoji,animal; boar; nature; pig
U+1F43D,🐽,pig nose,2010,emoji,animal; face; nature; nose; pig
U+1F40F,🐏,ram,2010,emoji,animal; aries; nature; ram; sheep; zodiac
U+1F411,🐑,sheep,2010,emoji,animal; ewe; nature; sheep
U+1F410,🐐,goat,2010,emoji,animal; capricorn; goat; nature; zodiac
U+1F42A,🐪,dromedary camel,2010,emoji,animal; camel; dromedary; hump; nature
U+1F42B,🐫,bactrian camel,2010,emoji,animal; bactrian; camel; hump; nature
U+1F418,🐘,elephant,2010,emoji,animal; elephant; nature
U+1F42D,🐭,mouse face,2010,emoji,animal; face; mouse; nature
U+1F401,🐁,mouse,2010,emoji,animal; mouse; nature
U+1F400,🐀,rat,2010,emoji,animal; nature; rat
U+1F439,🐹,hamster face,2010,emoji,animal; face; hamster; nature; pet
U+1F430,🐰,rabbit face,2010,emoji,animal; bunny; face; nature; pet; rabbit
U+1F407,🐇,rabbit,2010,emoji,animal; bunny; nature; pet; rabbit
U+1F43B,🐻,bear face,2010,emoji,animal; bear; face; nature
U+1F428,🐨,koala,2010,emoji,animal; bear; koala; nature
U+1F43C,🐼,panda face,2010,emoji,animal; face; nature; panda
U+1F43E,🐾,paw prints,2010,emoji,animal; feet; nature; paw; print
U+1F414,🐔,chicken,2010,emoji,animal; chicken; nature
U+1F413,🐓,rooster,2010,emoji,animal; nature; rooster
U+1F423,🐣,hatching chick,2010,emoji,animal; baby; chick; hatching; nature
U+1F424,🐤,baby chick,2010,emoji,animal; baby; chick; nature
U+1F425,🐥,front-facing baby chick,2010,emoji,animal; baby; chick; nature
U+1F426,🐦,bird,2010,emoji,animal; bird; nature
U+1F427,🐧,penguin,2010,emoji,animal; nature; penguin
U+1F438,🐸,frog face,2010,emoji,animal; face; frog; nature
U+1F40A,🐊,crocodile,2010,emoji,animal; crocodile; nature
U+1F422,🐢,turtle,2010,emoji,animal; nature; turtle
U+1F40D,🐍,snake,2010,emoji,animal; bearer; nature; ophiuchus; serpent; snake; zodiac
U+1F432,🐲,dragon face,2010,emoji,animal; dragon; face; fairy tale; nature
U+1F409,🐉,dragon,2010,emoji,animal; dragon; fairy tale; nature
U+1F433,🐳,spouting whale,2010,emoji,animal; face; nature; spouting; whale
U+1F40B,🐋,whale,2010,emoji,animal; nature; whale
U+1F42C,🐬,dolphin,2010,emoji,animal; dolphin; flipper; nature
U+1F41F,🐟,fish,2010,emoji,animal; fish; nature; pisces; zodiac
U+1F420,🐠,tropical fish,2010,emoji,animal; fish; nature; tropical
U+1F421,🐡,blowfish,2010,emoji,animal; blowfish; fish; nature
U+1F419,🐙,octopus,2010,emoji,animal; nature; octopus
U+1F41A,🐚,spiral shell,2010,emoji,animal; nature; shell; spiral
U+1F40C,🐌,snail,2010,emoji,animal; nature; snail
U+1F41B,🐛,bug,2010,emoji,animal; bug; insect; nature
U+1F41C,🐜,ant,2010,emoji,animal; ant; insect; nature
U+1F41D,🐝,honeybee,2010,emoji,animal; bee; honeybee; insect; nature
U+1F41E,🐞,lady beetle,2010,emoji,animal; beetle; insect; lady beetle; ladybird; ladybug; nature
U+1F490,💐,bouquet,2010,emoji,bouquet; flower; nature; object; place; plant; romance
U+1F338,🌸,cherry blossom,2010,emoji,blossom; cherry; flower; nature; plant
U+1F4AE,💮,white flower,2010,emoji,flower; object; symbol
U+1F339,🌹,rose,2010,emoji,flower; nature; plant; rose
U+1F33A,🌺,hibiscus,2010,emoji,flower; hibiscus; nature; plant
U+1F33B,🌻,sunflower,2010,emoji,flower; nature; plant; sun; sunflower
U+1F33C,🌼,blossom,2010,emoji,blossom; flower; nature; plant
U+1F337,🌷,tulip,2010,emoji,flower; nature; plant; tulip
U+1F331,🌱,seedling,2010,emoji,nature; plant; seedling; young
U+1F332,🌲,evergreen tree,2010,emoji,evergreen; nature; plant; tree
U+1F333,🌳,deciduous tree,2010,emoji,deciduous; nature; plant; shedding; tree
U+1F334,🌴,palm tree,2010,emoji,nature; palm; plant; tree
U+1F335,🌵,cactus,2010,emoji,cactus; nature; plant
U+1F33E,🌾,ear of rice,2010,emoji,ear; nature; plant; rice
U+1F33F,🌿,herb,2010,emoji,herb; leaf; nature; plant
U+1F340,🍀,four leaf clover,2010,emoji,4; clover; four; leaf; nature; plant
U+1F341,🍁,maple leaf,2010,emoji,falling; leaf; maple; nature; plant
U+1F342,🍂,fallen leaf,2010,emoji,falling; leaf; nature; plant
U+1F343,🍃,leaf fluttering in wind,2010,emoji,blow; flutter; leaf; nature; plant; wind
U+1F347,🍇,grapes,2010,emoji,food; fruit; grape; nature; object; plant
U+1F348,🍈,melon,2010,emoji,food; fruit; melon; nature; object; plant
U+1F349,🍉,watermelon,2010,emoji,food; fruit; nature; object; plant; watermelon
U+1F34A,🍊,tangerine,2010,emoji,food; fruit; nature; object; orange; plant; tangerine
U+1F34B,🍋,lemon,2010,emoji,citrus; food; fruit; lemon; nature; object; plant
U+1F34C,🍌,banana,2010,emoji,banana; food; fruit; nature; object; plant
U+1F34D,🍍,pineapple,2010,emoji,food; fruit; nature; object; pineapple; plant
U+1F34E,🍎,red apple,2010,emoji,apple; food; fruit; nature; object; plant; red
U+1F34F,🍏,green apple,2010,emoji,apple; food; fruit; green; nature; object; plant
U+1F350,🍐,pear,2010,emoji,food; fruit; nature; object; pear; plant
U+1F351,🍑,peach,2010,emoji,food; fruit; nature; object; peach; plant
U+1F352,🍒,cherries,2010,emoji,cherry; food; fruit; nature; object; plant
U+1F353,🍓,strawberry,2010,emoji,berry; food; fruit; nature; object; plant; strawberry
U+1F345,🍅,tomato,2010,emoji,food; nature; object; plant; tomato; vegetable
U+1F346,🍆,aubergine,2010,emoji,aubergine; eggplant; food; nature; object; plant; vegetable
U+1F33D,🌽,ear of maize,2010,emoji,corn; ear; maize; maze; nature; object; plant
U+1F344,🍄,mushroom,2010,emoji,mushroom; nature; plant
U+1F330,🌰,chestnut,2010,emoji,chestnut; nature; plant
U+1F35E,🍞,bread,2010,emoji,bread; food; loaf; nature; object
U+1F356,🍖,meat on bone,2010,emoji,bone; food; meat; nature; object
U+1F357,🍗,poultry leg,2010,emoji,bone; chicken; food; leg; nature; object; poultry
U+1F354,🍔,hamburger,2010,emoji,burger; food; hamburger; nature; object
U+1F35F,🍟,french fries,2010,emoji,food; french; fries; nature; object
U+1F355,🍕,slice of pizza,2010,emoji,cheese; food; nature; object; pizza; slice
U+1F372,🍲,pot of food,2010,emoji,food; nature; object; pot; stew
U+1F371,🍱,bento box,2010,emoji,bento; box; food; nature; object
U+1F358,🍘,rice cracker,2010,emoji,cracker; food; nature; object; rice
U+1F359,🍙,rice ball,2010,emoji,ball; food; japanese; nature; object; rice
U+1F35A,🍚,cooked rice,2010,emoji,cooked; food; nature; object; rice
U+1F35B,🍛,curry and rice,2010,emoji,curry; food; nature; object; rice
U+1F35C,🍜,steaming bowl,2010,emoji,bowl; food; nature; noodle; object; ramen; steaming
U+1F35D,🍝,spaghetti,2010,emoji,food; nature; object; pasta; spaghetti
U+1F360,🍠,roasted sweet potato,2010,emoji,food; nature; object; potato; roasted; sweet
U+1F362,🍢,oden,2010,emoji,food; kebab; nature; object; oden; seafood; skewer; stick
U+1F363,🍣,sushi,2010,emoji,food; nature; object; sushi
U+1F364,🍤,fried shrimp,2010,emoji,food; fried; nature; object; prawn; shrimp; tempura
U+1F365,🍥,fish cake with swirl design,2010,emoji,cake; fish; food; nature; object; pastry; swirl
U+1F361,🍡,dango,2010,emoji,dango; dessert; food; japanese; nature; object; skewer; stick; sweet
U+1F366,🍦,soft ice cream,2010,emoji,cream; dessert; food; ice; icecream; nature; object; soft; sweet
U+1F367,🍧,shaved ice,2010,emoji,dessert; food; ice; nature; object; shaved; sweet
U+1F368,🍨,ice cream,2010,emoji,cream; dessert; food; ice; nature; object; sweet
U+1F369,🍩,doughnut,2010,emoji,dessert; donut; doughnut; food; nature; object; sweet
U+1F36A,🍪,cookie,2010,emoji,cookie; dessert; food; nature; object; sweet
U+1F382,🎂,birthday cake,2010,emoji,birthday; cake; celebration; dessert; food; object; pastry; sweet
U+1F370,🍰,shortcake,2010,emoji,cake; dessert; food; nature; object; pastry; shortcake; slice; sweet
U+1F36B,🍫,chocolate bar,2010,emoji,bar; chocolate; dessert; food; nature; object; sweet
U+1F36C,🍬,candy,2010,emoji,candy; dessert; food; nature; object; sweet
U+1F36D,🍭,lollipop,2010,emoji,candy; dessert; food; lollipop; nature; object; sweet
U+1F36E,🍮,custard,2010,emoji,custard; dessert; food; nature; object; pudding; sweet
U+1F36F,🍯,honey pot,2010,emoji,food; honey; honeypot; nature; object; pot; sweet
U+1F37C,🍼,baby bottle,2010,emoji,baby; bottle; drink; milk; nature; object
U+2615,☕️,hot beverage,2003,emoji,beverage; coffee; drink; hot; nature; object; steaming; tea
U+1F375,🍵,teacup without handle,2010,emoji,beverage; cup; drink; nature; object; tea; teacup
U+1F376,🍶,sake bottle and cup,2010,emoji,bar; beverage; bottle; cup; drink; nature; object; sake
U+1F377,🍷,wine glass,2010,emoji,bar; beverage; drink; glass; nature; object; wine
U+1F378,🍸,cocktail glass,2010,emoji,bar; cocktail; drink; glass; nature; object
U+1F379,🍹,tropical drink,2010,emoji,bar; drink; nature; object; tropical
U+1F37A,🍺,beer mug,2010,emoji,bar; beer; drink; mug; nature; object
U+1F37B,🍻,clinking beer mugs,2010,emoji,bar; beer; clink; drink; mug; nature; object
U+1F374,🍴,fork and knife,2010,emoji,cooking; food; fork; knife; nature; object
U+1F373,🍳,cooking,2010,emoji,cooking; egg; food; frying; nature; object; pan
U+1F30D,🌍,earth globe europe-africa,2010,emoji,africa; earth; europe; globe; nature; place; world
U+1F30E,🌎,earth globe americas,2010,emoji,americas; earth; globe; nature; place; world
U+1F30F,🌏,earth globe asia-australia,2010,emoji,asia; australia; earth; globe; nature; place; world
U+1F310,🌐,globe with meridians,2010,emoji,earth; globe; meridians; nature; place; world
U+1F30B,🌋,volcano,2010,emoji,eruption; mountain; nature; place; volcano; weather
U+1F5FB,🗻,mount fuji,2010,emoji,fuji; mountain; nature; place
U+1F3E0,🏠,house building,2010,emoji,building; home; house; place
U+1F3E1,🏡,house with garden,2010,emoji,building; garden; home; house; place
U+26EA,⛪️,church,2009,emoji,building; christian; church; cross; place; religion
U+1F3E2,🏢,office building,2010,emoji,building; office; place
U+1F3E3,🏣,japanese post office,2010,emoji,building; japanese; office; place; post
U+1F3E4,🏤,european post office,2010,emoji,building; european; office; place; post
U+1F3E5,🏥,hospital,2010,emoji,building; doctor; hospital; medicine; place
U+1F3E6,🏦,green bank,2010,emoji,bank; building; place
U+1F3E8,🏨,hotel,2010,emoji,building; hotel; place
U+1F3E9,🏩,love hotel,2010,emoji,building; hotel; love; place
U+1F3EA,🏪,convenience store,2010,emoji,building; convenience; place; store
U+1F3EB,🏫,school,2010,emoji,building; education; place; school
U+1F3EC,🏬,department store,2010,emoji,building; department; place; store
U+1F3ED,🏭,factory,2010,emoji,building; factory; place
U+1F3EF,🏯,japanese castle,2010,emoji,building; castle; japanese; place
U+1F3F0,🏰,european castle,2010,emoji,building; castle; european; place
U+1F492,💒,wedding,2010,emoji,activity; chapel; place; romance; wedding
U+1F5FC,🗼,tokyo tower,2010,emoji,place; tokyo; tower
U+1F5FD,🗽,statue of liberty,2010,emoji,liberty; place; statue
U+1F5FE,🗾,silhouette of japan,2010,emoji,japan; map; place
U+26F2,⛲️,fountain,2009,emoji,fountain; object; place
U+26FA,⛺️,tent,2009,emoji,camping; object; place; tent
U+1F301,🌁,foggy,2010,emoji,fog; nature; place; weather
U+1F303,🌃,night with stars,2010,emoji,nature; night; place; star; weather
U+1F304,🌄,sunrise over mountains,2010,emoji,morning; mountain; nature; place; sun; sunrise; time; weather
