Unicode,EmojiGlyph,Description,Year,Nature,UsageNumber,UsagePercentage,Sentiment,AverageSentiment,Annotations,Color
U+1F510,🔐,closed lock with key,2010,emoji,2642237,0.0192922210385972,0.363636363636364,0.00701535310494444,closed; key; lock; object; secure,Orange
U+1F511,🔑,key,2010,emoji,2438335,0.0178034361740252,0.25,0.00445085904350631,key; lock; object; password,Orange
U+1F528,🔨,hammer,2010,emoji,1128070,0.00823657218751019,-0.125,0.0,hammer; object; tool,Gray
U+1F527,🔧,wrench,2010,emoji,238953,0.00174470878041444,-0.6,0.0,object; tool; wrench,Gray
U+1F529,🔩,nut and bolt,2010,emoji,295084,0.00215454773850848,0.2,0.000430909547701695,bolt; nut; object; tool,Gray
U+1F517,🔗,link symbol,2010,emoji,1806551,0.0131904826135955,0.0,0.0,link; object; symbol,Gray
U+1F489,💉,syringe,2010,emoji,4261939,0.031118430799742,0.375,0.0116694115499033,doctor; medicine; needle; object; shot; sick; syringe; tool,Brown
U+1F48A,💊,pill,2010,emoji,4163759,0.0304015722206027,0.454545454545455,0.0138188964639103,doctor; medicine; object; pill; sick,Orange
U+1F52A,🔪,hocho,2010,emoji,7593377,0.055442834050617,0.0710382513661202,0.00393856198173782,cooking; hocho; knife; object; tool; weapon,Gray
U+1F52B,🔫,pistol,2010,emoji,29615177,0.216234403189865,-0.195364238410596,0.0,gun; object; pistol; revolver; tool; weapon,Gray
U+1F3C1,🏁,chequered flag,2010,emoji,1538504,0.0112333447895726,0.571428571428571,0.00641905416547006,checkered; chequered; flag; object; place; racing; sport,Gray
U+1F6A9,🚩,triangular flag on post,2010,emoji,1245270,0.00909230477536041,-0.285714285714286,0.0,flag; object; place; post; travel,Red
U+1F6AC,🚬,smoking symbol,2010,emoji,5069323,0.0370135229474285,0.542857142857143,0.0200930553143183,activity; object; smoking,Gray
U+1F5FF,🗿,moyai,2010,emoji,1774796,0.0129586243514182,0.46551724137931,0.00603246306014296,face; moyai; place; statue; travel,Gray
U+1F52E,🔮,crystal ball,2010,emoji,5296143,0.0386696429608772,0.271356783919598,0.0104932699491828,ball; crystal; fairy tale; fantasy; fortune; object; tool,Gray
U+1F3E7,🏧,automated teller machine,2010,emoji,320115,0.00233731089897331,1.0,0.00233731089897331,atm; automated; bank; place; sign; symbol; teller,Gray
U+1F6AE,🚮,put litter in its place symbol,2010,emoji,3492938,0.0255035910745765,0.0,0.0,litter; litterbox; place; symbol; travel,Gray
U+1F6B0,🚰,potable water symbol,2010,emoji,103846,0.000758228722848922,0.0,0.0,drink; potable; sign; symbol; travel; water,Gray
U+267F,♿️,wheelchair symbol,2005,emoji,305074,0.00222748944970834,1.0,0.00222748944970834,access; sign; symbol; travel; wheelchair,Gray
U+1F6B9,🚹,mens symbol,2010,emoji,498734,0.00364149263198712,0.769230769230769,0.00280114817845163,lavatory; man; restroom; sign; symbol; travel; wc,Gray
U+1F6BA,🚺,womens symbol,2010,emoji,943570,0.00688945049417943,0.2,0.00137789009883589,lavatory; restroom; sign; symbol; travel; wc; woman,Gray
